objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
psychiana027,mg101_b6_photographs_01.jpg,,Photograph of Frank B. Robinson playing his organ,image/jpeg,Photograph of Frank B. Robinson playing from a book of sheet music on his pipe organ.,,,1935,yes,single-page; photographs,Pipe Organ,"Moscow, ID",46.732534,-117.003116,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana028,mg101_b6_psychiana_photographs_018a.jpg,,Photograph of Frank B. Robinson watching Psychiana staff members work,image/jpeg,Photograph depicts young Frank B. Robinson standing in a doorway with his hands on his hips and watching smiling female Psychiana staff complete tasks.,,,1935-05-01,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_018a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana029,mg101_b6_psychiana_photographs_038.jpg,,Photograph of Frank B. Robinson watching the work of an unidentified male staff member,image/jpeg,Photograph depicts Frank B. Robinson standing behind an unidentified male staff member who edits a lithograph plate at a drafting table.,,,1940,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,"Moscow, ID",46.732534,-117.003116,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_038,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana030,mg101_b6_psychiana_photographs_015.jpg,,Photograph of Psychiana business office,image/jpeg,Photograph depicts an unidentified man and woman sitting over a desk and writing records in ledgers or some sort of record books. The calendar over the desk marks the month of May in year 1938.,,,1935-05-01,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,"Moscow, ID",46.732534,-117.003116,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana031,mg101_b6_psychiana_photographs_021.jpg,,Photograph of revolving table used to sort and compile materials,image/jpeg,"Photograph depicts several female Psychiana staff sitting around a revolving 'rotary table,' operated by electric motor and used to assemble Frank B. Robinsons Lessons and follow-up literature before mailing.",,,1935-05-01,,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Lessons,"Moscow, ID",46.731365,-116.999089,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_021,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana032,mg101_b6_psychiana_photographs_010.jpg,,Photograph of some Psychiana staff members at Psychiana's international headquarters,image/jpeg,"Photograph of all women staff standing in front of Psychiana's International Headquarters, which operated with a staff of sixty-three women who conducted a direct mail campaign.",,,1938,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff,"Moscow, ID",46.733843,-117.001138,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana033,mg101_b6_psychiana_photographs_019.jpg,,Photograph of the bookkeeping department,image/jpeg,"Photograph depicts the bookkeeping department in the Psychiana Branch Mailing Department and several female staff completing various tasks of typing, sorting mail, calculating and keeping records.",,,1935-05-01,,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana034,mg101_b6_psychiana_photographs_003.jpg,,Photograph of The Professional Building built by Frank B. Robinson,image/jpeg,"Photograph of The Professional Building main entrance from street view. The Professional Building housed most lawyers and doctors in Moscow, Idaho, along with the Robinson's Exclusive Prescription Pharmacy, grossing $8,000 a year in rent.",,,1936,yes,single-page; photographs,"Moscow, Idaho; Finances","Moscow, ID",46.733843,-117.001138,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana035,mg101_b6_psychiana_photographs_035.jpg,,"Photograph of three men, two working at linographs",image/jpeg,"Photograph depicts W.J. Marinean standing between Howard Wallace and T.J. Grief, who sit at two linograph machines and work.",,,1935,yes,single-page; photographs,Daily Idahoan; Psychiana Staff,,,,Daily Idahoan,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_035,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana036,mg101_b6_psychiana_photographs_017.jpg,,Photograph of two women using dictaphones,image/jpeg,Photograph depicts two women sitting next to each other at a desk and using Dictaphones and typewriters to transcribe documents.,,,1938,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_017,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana037,mg101_b6_psychiana_photographs_028.jpg,,Photograph of unidentified woman using an envelope sorter,image/jpeg,Photograph depicts a female Psychiana staff member loading handfuls of envelopes into a sorter machine in preparation for mailing.,,,1935-05-01,,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Mailings,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_028,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana038,mg101_b6_psychiana_photographs_040.jpg,,"Photograph of William Walter DeBolt, Frank B. Robinson, and unidentified female staff member working at a sorter",image/jpeg,"Photograph depicts (from left to right) W.W. DeBolt standing with his hands in his pockets, Frank B. Robinson with sleeves rolled up adjusting a sorter, and a female Psychiana Staff Member collecting materials as they leave the sorter.",,,1940,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff; Mailings,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_040,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana039,mg101_b6_photographs_04.jpg,,Portrait of Frank B. Robinson [01],image/jpeg,Portrait of middle-aged Frank B. Robinson dressed in a three piece pin-striped suit and tie.,,,1935,yes,single-page; photographs,Portraits; Middle-Aged Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana040,mg101_b6_photographs_05.jpg,,Portrait of Frank B. Robinson [02],image/jpeg,"Portrait of middle-aged Frank B. Robinson wearing a suit, tie, vest, and black pork pie hat.",,,1935,yes,single-page; photographs,Portraits; Middle-Aged Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana041,mg101_b6_photographs_08.jpg,,Portrait of Frank B. Robinson [03],image/jpeg,Portrait of middle-aged Frank B. Robinson wearing a three piece suit with pocket watch and sitting in an ornate chair with animals carved into the handles.,,,1935,yes,single-page; photographs,Portraits; Middle-Aged Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana042,mg101_b7_f23_040.pdf,,Sales - Agents Application Blank,application/pdf,Fill out and sign enclosed 'Sales Agents Application Blank'. Notice to inform students about becoming sale agents for Psychiana and receiving a 33 1/3% commission.,,Students,1936,yes,multiple-page; application forms,Application; Commission; Teaching; Sales Agent; Spreading Psychiana,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_040,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana043,mg101_b7_f23_041.pdf,,Order Blank,application/pdf,"Order form blank for Psychiana written materials with retail, cost, and profit columns.",,Sales Agents,1936,yes,single-page; order forms,Order Blank; Prices; Psychiana Publications,"New York, NY",40.713569,-74.023587,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_041,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana044,mg101_b7_f23_042.pdf,,Daily Procedure For Every 'Psychiana' Student,application/pdf,Frank B. Robinson gives his students five procedures to do daily in addition to the exercises to do the lessons.,"Robinson, Frank B.",Students,1935,yes,single-page; instructions,Students Exercises; Psychiana Affirmations,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_042,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana045,mg101_b7_f23_043.pdf,,"Dr. Frank B. Robinson Speaking to Packed house in the TRINITY AUGITORIUM Los Angeles, California, January 27th 1935",application/pdf,A flyer announcing a Frank B. Robinson speaking engagement at Trinity Auditorium.,,,1935-01-27,,multiple-page; flyers,Successful; Material Abundance; Spiritual Abundance Reason; Law; Los Angeles,"Los Angeles, CA",34.054709,-118.261773,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_043,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana046,mg101_b7_f23_044.pdf,,The New Psychiana,application/pdf,Flyer announcing Frank B. Robinson's new Lessons.,,new members,1945,yes,multiple-page; flyers,Doomed; Atomic War; Hiroshima; Civilizations; World War,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_044,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana047,mg101_b6_photographs_03.jpg,,Several portrait photographs of a younger Frank B. Robinson,image/jpeg,"Three portrait photographs of a young Frank B. Robinson, two of which have been cut out, wearing the same suit but posing differently in each photograph. 'Age 16' written in pencil in white space.",,,1902,yes,single-page; photographs,Portraits; Young Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana048,mg101_b6_robinson_friends_015.jpg,,Signed portrait of Tommy Burns at age 27 mailed to Frank B. Robinson,image/jpeg,"Signed portrait of world heavyweight boxing champion Tommy Burns at the age of 27, wearing his heavyweight belt with a personal note to Frank B. Robinson on back.",,,1942,yes,single-page; photographs,Tommy Burns; Celebrity Friends,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Robinson & Friends'",mg101_b6_robinson_friends_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana049,mg101_b7_f23_047.pdf,,A Sacred Trust,application/pdf,A single-page notice sent to members asking that they direct their thoughts to Hitler and to say 'YOU ARE OPPOSING THE SPIRIT OF GOD-YOU WILL LOSE.',"Tenney, C.W.",members,1933,yes,single-page; notices,Trust; Tenney; Duty; World War; Spirit of God; Psychiana Affirmations,,,,,University of Idaho Library Digital Initiatives - https://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_047,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana050,mg101_b7_f23_048.pdf,,A Special Offer to our Members ONLY!,application/pdf,A single-page advertisement and detachable order form at the bottom. Members offered a 28 1/2% discount for three of Frank B. Robinson�s books.,,members,1949,yes,single-page; advertisements,Offer; Members; Discount; Robinson's Books,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_048,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana051,mg101_b7_f26_002.pdf,,Psychiana What It Is,application/pdf,Flyer details the story of Psychiana and Robinson's life on the front. The back includes articles about Latah County farmers asking for loans and statements about how Psychiana has enriched the lives of students.,"Psychiana, Inc.",,1935,yes,multiple-page; flyers,Psychiana Origin; Robinson's Life; Latah County; Psychiana Growth; Success; Farmers,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",mg101_b7_f26_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
psychiana052,mg101_b7_f26_015.pdf,,I Want You to Find the Almighty Power of God and You Can Right Here on Earth,application/pdf,Flyer includes illustration of Robinson as iconic 'Uncle Sam' with electric bolts around title. Copy states Robinson wants 'you' to discover a Power that brings prosperity.,"Psychiana, Inc.",,1944,yes,single-page; flyers,God-Power; Electricity; Uncle Sam; Success,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 26",mg101_b7_f26_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
